2024 Worldwide Beancurd Manufacturers Index,,,,
Ranking,Country,Region,Cumulative Export Rate,Revenue (in Dollars)
1,United States,Americas,77.1,"$1,100,000,000 "
2,Italy,Europe,8.6,"$120,800,000 "
3,BoIivia,South America,3.5,"$48,400,000 "
4,Serbia,Europe,2,"$27,900,000 "
5,Ethiopia,Africa,1.7,"$23,500,000 "
6,Austria,Europe,1.2,"$17,100,000 "
7,India,Asia,0.8,"$10,600,000 "
8,Netherlands,Europe,0.7,"$9,200,000 "
9,Portugal,Europe,0.6,"$8,500,000 "
10,Canada,Americas,0.5,"$7,400,000 "
11,Togo,Africa,0.5,"$7,300,000 "
12,Belgium,Europe,0.4,"$5,100,000 "
13,Australia,Oceania,0.4,"$5,000,000 "
14,South Africa,Africa,0.3,"$4,100,000 "
15,China,Asia,0.2,"$2,600,000 "
