Global Vegetarian Index,,,,,
Country,Annual meat consumption (lb-oz),No. of vegetarian restaurants,No. of people per locations,Global Vegetarian Index Score,
Seychelles,78.5,117,810,328,
Thailand,56.9,908,"76,000",326,
Malaysia,115.3,"1,185","27,000",311,
Sao Tome & Principe,36.4,13,"16,000",311,
Peru,45.9,284,"113,000",307,
Singapore,156.7,654,"9,000",305,
Cambodia,36.6,153,"105,000",301,
Solomon Islands,26.2,19,"32,000",300,
United Kingdom,185.6,"4,433","15,000",299,
Botswana,57.8,80,"29,000",297,
India,9.7,697,"1,900,000",288,
Liberia,23.0,32,"148,000",284,
Belize,93.7,28,"13,000",284,
Sri Lanka,13.9,74,"282,000",282,
Japan,101.1,962,"133,000",281,
Indonesia,25.6,438,"603,000",280,
Australia,245.8,"3,016","8,000",279,
Canada,207.9,"2,435","15,000",278,
Colombia,102.5,504,"97,000",278,
Finland,164.9,344,"16,000",278,
