Worldwide Highest Temperature Recordings,,,,,,
Place,Country,Region,Area (sq. mi.),Elevation (ft.),Avg. temp. (C),Avg. temp. (F)
Dasht-e Lut,Iran,Asia,"20,000",354,70,158
Flaming Mountains,China,Asia,112,"1,600",66.8,152.24
Aziziya,Libya,Africa,749,390,58,136.4
Kebili,Tunisia,Africa,"8,670",160,55,131
Mitribah,Kuwait,Asia,0,394,54,129.2
Turbat,Pakistan,Asia,160,423,53.7,128.66
Wadi Halfa,Sudan,Africa,81,614,53,127.4
"Oodnadatta, South Australia",Australia,Oceania,"379,725",367,50.5,122.9
"Death Valley, California",United States,Americas,"3,000",-282,47,116.6
Dallol,Ethiopia,Africa,"1,544",-430,41.1,105.98
Timbuktu,Mali,Africa,8,856,40,104
Bangkok,Thailand,Asia,"605,693",5,32,89.6
